Part,Description,Part Qty,Instance Qty,Usage Qty,Unit Price,Monthly Cost,Custom Label,Custom Note,Environment
,Exadata Database Service on Cloud@Customer X11M base system with 64 BYOL ECPUs and 3 High Capacity storage servers,1,1,,,,C@C X11M Base 64 BYOL ECPU,"Production architecture summary: Exadata Cloud@Customer X11M base system request with 64 BYOL ECPUs and 3 High Capacity storage servers. Assumes High redundancy and Rack Term Factor 1.0.",Production
B110634,Exadata Cloud@Customer - Base System Rack - X11M,1,1,,4540.00,4540.00,X11M Base System Rack,"Production. Oracle eSource PDF, last updated June 11, 2026: monthly subscription price 4,540.00, metric Hosted Environment Per Month. Includes 2 Exadata Database Servers with 660 usable GB RAM per node; zero enabled OCPUs and up to 60 Database OCPUs can be purchased separately; requires an additional 3 or more Exadata Storage Servers.",Production
B110647,Exadata Cloud@Customer - Storage Server - X11M,3,1,,3150.00,9450.00,X11M HC Storage Servers,"Production. Oracle eSource PDF, last updated June 11, 2026: monthly subscription price 3,150.00 x Rack Term Factor, metric Hosted Environment Per Month. Includes 1 Exadata Storage Server with 80 TB usable storage. Using 3 High Capacity storage servers; assumes Rack Term Factor 1.0.",Production
B110663,Oracle Exadata Cloud@Customer Database ECPU - BYOL,64,1,744,0.0807,,64 BYOL ECPU Runtime,"Production. Oracle eSource PDF, last updated June 11, 2026: annual commitment price 0.0807, metric ECPU Per Hour, metric minimum 8. 64 BYOL ECPUs requested.",Production
B91390,Gen 2 Exadata Cloud at Customer Installation and Activation Service,1,1,,30000.00,,"One-time installation and activation","Production. Metric: Each. Installation of hardware, software, and activation of service. Mandatory and required for each rack. One-time service SKU; unit price shown, excluded from recurring monthly cost, and included once in discounted annual cost. Pricing sourced from Oracle eSource PDF, document date June 11, 2026, page 92.",Production
,Exadata Database Service on Cloud@Customer X11M DR base system with 52 BYOL ECPUs and 3 High Capacity storage servers,1,1,,,,C@C X11M DR 52 BYOL ECPU,"Disaster Recovery architecture summary: Exadata Cloud@Customer X11M base system request modeled from Standard C@C with ECPUs reduced by 20%. 64 * 0.8 = 51.2, rounded up to 52 BYOL ECPUs. Assumes 3 High Capacity storage servers, High redundancy, and Rack Term Factor 1.0.",Disaster Recovery
B110634,Exadata Cloud@Customer - Base System Rack - X11M,1,1,,4540.00,4540.00,X11M Base System Rack,"Disaster Recovery. Oracle eSource PDF, last updated June 11, 2026: monthly subscription price 4,540.00, metric Hosted Environment Per Month. Includes 2 Exadata Database Servers with 660 usable GB RAM per node; zero enabled OCPUs and up to 60 Database OCPUs can be purchased separately; requires an additional 3 or more Exadata Storage Servers.",Disaster Recovery
B110647,Exadata Cloud@Customer - Storage Server - X11M,3,1,,3150.00,9450.00,X11M HC Storage Servers,"Disaster Recovery. Oracle eSource PDF, last updated June 11, 2026: monthly subscription price 3,150.00 x Rack Term Factor, metric Hosted Environment Per Month. Includes 1 Exadata Storage Server with 80 TB usable storage. Using 3 High Capacity storage servers; assumes Rack Term Factor 1.0.",Disaster Recovery
B110663,Oracle Exadata Cloud@Customer Database ECPU - BYOL,52,1,744,0.0807,,52 BYOL ECPU Runtime,"Disaster Recovery. 20% reduction from Production 64 BYOL ECPUs, rounded up from 51.2 to 52. Oracle eSource PDF, last updated June 11, 2026: annual commitment price 0.0807, metric ECPU Per Hour, metric minimum 8.",Disaster Recovery
B91390,Gen 2 Exadata Cloud at Customer Installation and Activation Service,1,1,,30000.00,,"One-time installation and activation","Disaster Recovery. Metric: Each. Installation of hardware, software, and activation of service. Mandatory and required for each rack. One-time service SKU; unit price shown, excluded from recurring monthly cost, and included once in discounted annual cost. Pricing sourced from Oracle eSource PDF, document date June 11, 2026, page 92.",Disaster Recovery
,"OCI Exadata Dedicated Infrastructure X11M - Quarter rack baseline, 64 BYOL ECPUs, 3 storage servers",,,,,,,"Non-Prod calculator source: Oracle Cloud Cost Estimator export generated 06/25/2026. Assumes latest X11M, default 2 database servers, default 3 storage servers, 64 BYOL ECPUs, and 744 hours per month.",Non-Prod
B110629,Exadata Cloud Infrastructure - Storage Server - X11M (Hosted Environment Per Hour),3,1,744,2.9032,6479.9424,,"Non-Prod. Calculator row preserved for OCI Exadata Dedicated Infrastructure X11M. Default 3 storage servers.",Non-Prod
B110627,Exadata Cloud Infrastructure - Database Server - X11M (Hosted Environment Per Hour),2,1,744,2.9032,4319.9616,,"Non-Prod. Calculator row preserved for OCI Exadata Dedicated Infrastructure X11M. Default 2 database servers.",Non-Prod
B110632,Exadata Database ECPU - Dedicated Infrastructure - BYOL (ECPU Per Hour),64,1,744,0.0807,3842.6112,BYOL,"Non-Prod. Calculator row preserved for OCI Exadata Dedicated Infrastructure X11M. 64 BYOL ECPUs.",Non-Prod
